StationID,ECO_ID,ECO_NAME
USH00487240,"50815",Western short grasslands
USH00488995,"50815",Western short grasslands
USH00250420,"50809",Nebraska Sand Hills mixed grasslands
USH00255470,"50809",Nebraska Sand Hills mixed grasslands
USH00256970,"50809",Nebraska Sand Hills mixed grasslands
USH00258133,"50809",Nebraska Sand Hills mixed grasslands
USH00300023,"50401",Allegheny Highlands forests
USH00300085,"50401",Allegheny Highlands forests
USH00300093,"50401",Allegheny Highlands forests
USH00300183,"50401",Allegheny Highlands forests
USH00300687,"50401",Allegheny Highlands forests
USH00301752,"50401",Allegheny Highlands forests
USH00301799,"50401",Allegheny Highlands forests
USH00301974,"50401",Allegheny Highlands forests
USH00302060,"50401",Allegheny Highlands forests
USH00302610,"50401",Allegheny Highlands forests
USH00303773,"50401",Allegheny Highlands forests
USH00304174,"50401",Allegheny Highlands forests
USH00305113,"50401",Allegheny Highlands forests
USH00305512,"50401",Allegheny Highlands forests
USH00306085,"50401",Allegheny Highlands forests
USH00306774,"50401",Allegheny Highlands forests
USH00308910,"50401",Allegheny Highlands forests
USH00363028,"50401",Allegheny Highlands forests
USH00365915,"50401",Allegheny Highlands forests
USH00367029,"50401",Allegheny Highlands forests
USH00367477,"50401",Allegheny Highlands forests
USH00368905,"50401",Allegheny Highlands forests
USH00369298,"50401",Allegheny Highlands forests
USH00369408,"50401",Allegheny Highlands forests
USH00051528,"50511",Colorado Rockies forests
USH00052281,"50511",Colorado Rockies forests
USH00053951,"50511",Colorado Rockies forests
USH00057936,"50511",Colorado Rockies forests
USH00058204,"50511",Colorado Rockies forests
USH00058429,"50511",Colorado Rockies forests
USH00291664,"50511",Colorado Rockies forests
USH00291813,"50511",Colorado Rockies forests
USH00292608,"50511",Colorado Rockies forests
USH00294369,"50511",Colorado Rockies forests
USH00297323,"50511",Colorado Rockies forests
USH00110072,"50804",Central forest/grasslands transition zone
USH00110338,"50804",Central forest/grasslands transition zone
USH00111280,"50804",Central forest/grasslands transition zone
USH00111436,"50804",Central forest/grasslands transition zone
USH00112140,"50804",Central forest/grasslands transition zone
USH00112193,"50804",Central forest/grasslands transition zone
USH00112348,"50804",Central forest/grasslands transition zone
USH00113335,"50804",Central forest/grasslands transition zone
USH00114108,"50804",Central forest/grasslands transition zone
USH00114198,"50804",Central forest/grasslands transition zone
USH00114442,"50804",Central forest/grasslands transition zone
USH00114823,"50804",Central forest/grasslands transition zone
USH00115079,"50804",Central forest/grasslands transition zone
USH00115326,"50804",Central forest/grasslands transition zone
USH00115712,"50804",Central forest/grasslands transition zone
USH00115768,"50804",Central forest/grasslands transition zone
USH00115833,"50804",Central forest/grasslands transition zone
USH00115901,"50804",Central forest/grasslands transition zone
USH00115943,"50804",Central forest/grasslands transition zone
USH00116446,"50804",Central forest/grasslands transition zone
USH00116526,"50804",Central forest/grasslands transition zone
USH00116579,"50804",Central forest/grasslands transition zone
USH00116610,"50804",Central forest/grasslands transition zone
USH00116738,"50804",Central forest/grasslands transition zone
USH00116910,"50804",Central forest/grasslands transition zone
USH00117551,"50804",Central forest/grasslands transition zone
USH00118740,"50804",Central forest/grasslands transition zone
USH00118916,"50804",Central forest/grasslands transition zone
USH00119241,"50804",Central forest/grasslands transition zone
USH00119354,"50804",Central forest/grasslands transition zone
USH00124008,"50804",Central forest/grasslands transition zone
USH00127298,"50804",Central forest/grasslands transition zone
USH00129511,"50804",Central forest/grasslands transition zone
USH00130112,"50804",Central forest/grasslands transition zone
USH00135769,"50804",Central forest/grasslands transition zone
USH00135796,"50804",Central forest/grasslands transition zone
USH00140405,"50804",Central forest/grasslands transition zone
USH00141740,"50804",Central forest/grasslands transition zone
USH00142835,"50804",Central forest/grasslands transition zone
USH00143954,"50804",Central forest/grasslands transition zone
USH00144559,"50804",Central forest/grasslands transition zone
USH00144588,"50804",Central forest/grasslands transition zone
USH00145972,"50804",Central forest/grasslands transition zone
USH00146128,"50804",Central forest/grasslands transition zone
USH00230204,"50804",Central forest/grasslands transition zone
USH00230856,"50804",Central forest/grasslands transition zone
USH00231037,"50804",Central forest/grasslands transition zone
USH00231711,"50804",Central forest/grasslands transition zone
USH00234271,"50804",Central forest/grasslands transition zone
USH00234705,"50804",Central forest/grasslands transition zone
USH00234850,"50804",Central forest/grasslands transition zone
USH00234904,"50804",Central forest/grasslands transition zone
USH00235027,"50804",Central forest/grasslands transition zone
USH00235541,"50804",Central forest/grasslands transition zone
USH00235671,"50804",Central forest/grasslands transition zone
USH00237963,"50804",Central forest/grasslands transition zone
USH00238051,"50804",Central forest/grasslands transition zone
USH00238223,"50804",Central forest/grasslands transition zone
USH00238523,"50804",Central forest/grasslands transition zone
USH00238725,"50804",Central forest/grasslands transition zone
